freq,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,RT,DE11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.3 	3.5 	3.5 	3.2 	3.5 	3.5 	3.3 	2.9 	3.6 	3.3 	3.4 	2.7 	3.0 	3.4 	3.3 	3.1 	2.7 	3.1 	3.1 	3.0 	3.1 
A,RT,DE12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.7 	3.4 	3.4 	3.2 	3.3 	2.3 	3.0 	3.5 	2.9 	2.9 	3.5 	2.8 	3.0 	3.1 	3.4 	3.2 	2.8 	2.9 	3.1 	3.1 	2.7 
A,RT,DE13	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.0 	3.2 	3.8 	3.8 	3.4 	2.9 	3.2 	4.2 	2.9 	3.4 	2.7 	4.0 	3.6 	2.4 	4.1 	3.7 	2.4 	3.6 	3.0 	3.5 	3.0 
A,RT,DE14	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.9 	3.5 	2.8 	2.7 	2.6 	2.7 	2.8 	2.4 	3.1 	3.4 	3.5 	2.9 	2.6 	2.2 	3.1 	3.8 	2.5 	2.6 	2.7 	2.1 	2.9 
A,RT,DE2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.9 	3.8 	3.4 	3.5 	3.3 	3.8 	3.1 	3.2 	3.0 	3.1 	2.7 	2.7 	2.8 	2.8 	3.0 	2.6 	2.6 	2.9 	2.7 	2.6 	2.8 
A,RT,DE21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.4 	3.3 	2.9 	3.0 	3.0 	3.5 	3.1 	3.2 	2.7 	3.0 	2.3 	2.5 	2.4 	2.2 	2.6 	2.7 	2.3 	2.5 	2.6 	2.3 	2.3 
A,RT,DE22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.1 	4.0 	3.7 	3.9 	3.5 	3.4 	3.1 	2.4 	4.8 	4.8 	3.7 	3.8 	3.9 	4.1 	3.9 	2.5 	3.4 	3.8 	2.8 	3.1 	3.0 
A,RT,DE23	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.0 	4.3 	2.9 	4.2 	3.2 	3.1 	2.1 	3.4 	3.5 	2.9 	1.9 	2.2 	2.9 	2.8 	3.2 	2.7 	2.6 	3.0 	2.4 	2.2 	2.5 
A,RT,DE24	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.3 	4.5 	3.6 	2.2 	3.9 	3.6 	2.9 	4.0 	3.9 	3.1 	3.6 	2.7 	2.7 	3.4 	3.7 	2.6 	3.5 	3.0 	3.1 	3.5 	4.2 
A,RT,DE25	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.8 	3.8 	4.6 	5.4 	3.8 	4.9 	3.4 	3.9 	2.9 	2.7 	2.1 	2.7 	2.8 	2.8 	3.1 	2.7 	3.5 	2.8 	3.4 	3.1 	3.0 
A,RT,DE26	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.3 	3.5 	4.1 	2.8 	3.8 	4.9 	3.2 	2.2 	2.8 	4.0 	3.4 	2.0 	3.1 	2.9 	3.8 	2.4 	2.1 	2.6 	2.7 	3.3 	2.8 
A,RT,DE27	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.9 	4.6 	3.1 	3.3 	3.0 	3.9 	3.5 	2.9 	2.4 	2.3 	3.0 	3.6 	2.9 	2.9 	2.6 	2.7 	1.9 	3.1 	2.3 	1.9 	2.9 
A,RT,DE3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.3 	3.9 	3.9 	3.4 	3.6 	3.5 	3.4 	3.9 	3.0 	3.2 	2.5 	3.5 	2.8 	3.2 	3.5 	2.7 	3.6 	3.0 	2.8 	2.9 	2.8 
A,RT,DE30	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.3 	3.9 	3.9 	3.4 	3.6 	3.5 	3.4 	3.9 	3.0 	3.2 	2.5 	3.5 	2.8 	3.2 	3.5 	2.7 	3.6 	3.0 	2.8 	2.9 	2.8 
A,RT,DE4	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.3 	3.4 	4.2 	4.1 	2.9 	3.1 	2.2 	3.2 	3.4 	3.7 	2.6 	2.8 	2.9 	2.6 	3.3 	2.7 	2.2 	2.7 	2.8 	3.0 	3.7 
A,RT,DE40	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.3 	3.4 	4.2 	4.1 	2.9 	3.1 	2.2 	3.2 	3.4 	3.7 	2.6 	2.8 	2.9 	2.6 	3.3 	2.7 	2.2 	2.7 	2.8 	3.0 	3.7 
A,RT,DE5	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.0 	3.6 	4.2 	5.3 	3.8 	6.8 	5.0 	5.5 	4.8 	6.5 	4.3 	3.5 	5.6 	4.5 	4.1 	4.9 	5.3 	4.3 	5.2 	2.6 	5.1 
A,RT,DE50	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.0 	3.6 	4.2 	5.3 	3.8 	6.8 	5.0 	5.5 	4.8 	6.5 	4.3 	3.5 	5.6 	4.5 	4.1 	4.9 	5.3 	4.3 	5.2 	2.6 	5.1 
A,RT,DE6	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.5 	3.6 	3.9 	4.6 	3.5 	3.4 	2.9 	3.8 	3.9 	4.0 	3.5 	3.7 	3.3 	3.4 	2.7 	3.2 	2.7 	3.2 	3.6 	3.2 	3.3 
A,RT,DE60	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.5 	3.6 	3.9 	4.6 	3.5 	3.4 	2.9 	3.8 	3.9 	4.0 	3.5 	3.7 	3.3 	3.4 	2.7 	3.2 	2.7 	3.2 	3.6 	3.2 	3.3 
A,RT,DE7	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.3 	4.0 	4.4 	3.9 	3.8 	4.0 	4.0 	3.3 	3.2 	3.7 	3.0 	3.6 	3.3 	3.1 	2.9 	3.0 	3.1 	3.1 	2.7 	2.9 	3.4 
A,RT,DE71	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.2 	3.9 	4.7 	3.7 	3.3 	3.7 	3.6 	3.4 	3.2 	3.7 	2.9 	3.4 	3.6 	2.7 	3.0 	3.0 	2.9 	2.7 	2.5 	2.8 	3.3 
A,RT,DE72	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.9 	4.4 	3.5 	3.6 	4.6 	3.5 	4.0 	3.5 	3.7 	3.5 	3.0 	4.2 	3.2 	3.9 	3.3 	3.2 	3.8 	4.3 	3.4 	3.6 	3.6 
A,RT,DE73	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.3 	3.7 	4.1 	4.8 	4.7 	5.1 	5.5 	2.9 	3.1 	3.7 	3.6 	4.1 	2.6 	4.0 	2.3 	3.0 	3.0 	3.5 	2.8 	2.4 	3.6 
A,RT,DE8	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.3 	3.2 	4.2 	3.4 	4.0 	2.6 	3.7 	3.6 	2.5 	2.5 	3.1 	2.9 	2.3 	2.6 	3.2 	3.2 	2.8 	2.2 	3.6 	2.0 	3.2 
A,RT,DE80	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.3 	3.2 	4.2 	3.4 	4.0 	2.6 	3.7 	3.6 	2.5 	2.5 	3.1 	2.9 	2.3 	2.6 	3.2 	3.2 	2.8 	2.2 	3.6 	2.0 	3.2 
A,RT,DE9	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.7 	4.9 	4.4 	4.5 	4.7 	4.2 	4.2 	4.2 	4.2 	5.0 	3.8 	3.7 	3.5 	3.6 	3.9 	3.9 	3.8 	3.9 	3.5 	3.2 	3.5 
A,RT,DE91	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.1 	5.0 	4.2 	3.8 	4.1 	3.0 	3.8 	3.5 	4.3 	5.3 	4.5 	2.9 	3.4 	4.0 	3.4 	3.7 	4.3 	4.3 	3.6 	4.3 	3.2 
A,RT,DE92	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.2 	5.1 	4.9 	4.6 	4.2 	5.2 	3.9 	3.8 	3.9 	4.4 	3.2 	3.9 	3.0 	2.9 	3.7 	4.1 	4.1 	3.9 	3.1 	2.5 	3.7 
A,RT,DE93	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.5 	4.1 	3.5 	4.0 	4.6 	3.8 	3.8 	3.9 	4.3 	6.4 	3.9 	3.9 	4.1 	3.9 	4.2 	4.2 	3.6 	3.8 	4.5 	4.1 	3.7 
A,RT,DE94	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.4 	5.4 	4.8 	5.2 	5.6 	4.4 	4.8 	5.0 	4.3 	4.6 	4.0 	3.9 	3.6 	3.6 	4.2 	3.7 	3.5 	3.6 	3.1 	2.7 	3.4 
A,RT,DEA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.8 	5.1 	5.0 	4.6 	4.6 	4.8 	4.3 	4.0 	4.2 	4.3 	3.8 	3.8 	3.9 	4.1 	4.1 	3.8 	3.8 	3.7 	3.4 	3.3 	3.4 
A,RT,DEA1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.5 	5.5 	4.9 	5.0 	4.7 	5.4 	4.3 	4.2 	5.0 	4.5 	3.9 	3.9 	4.3 	4.3 	4.2 	4.4 	4.0 	3.9 	3.6 	3.2 	3.3 
A,RT,DEA2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.9 	4.7 	4.7 	4.2 	3.8 	4.2 	3.6 	3.8 	3.8 	3.8 	3.5 	3.2 	2.8 	3.7 	3.5 	3.6 	3.7 	3.6 	3.0 	2.9 	3.1 
A,RT,DEA3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.5 	5.3 	5.5 	4.5 	4.9 	5.2 	5.2 	4.2 	4.4 	4.0 	4.0 	4.0 	4.3 	3.8 	4.2 	3.1 	3.4 	3.8 	3.5 	4.1 	4.3 
A,RT,DEA4	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.4 	4.9 	5.6 	4.4 	4.5 	4.3 	3.7 	3.3 	3.2 	4.0 	3.7 	4.3 	3.5 	3.9 	3.5 	3.4 	3.7 	3.2 	3.1 	2.6 	3.2 
A,RT,DEA5	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.2 	4.8 	4.9 	4.8 	5.3 	4.7 	4.9 	4.0 	3.9 	5.1 	4.0 	4.1 	4.9 	4.4 	4.8 	3.9 	3.9 	3.8 	3.7 	3.9 	3.2 
A,RT,DEB	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.6 	4.9 	4.2 	3.8 	4.3 	4.6 	3.1 	4.0 	3.1 	3.4 	4.2 	3.1 	3.0 	3.5 	3.4 	3.7 	3.4 	3.0 	3.5 	3.0 	3.5 
A,RT,DEB1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.3 	5.8 	4.4 	3.6 	4.2 	5.1 	4.0 	3.8 	3.5 	2.6 	4.0 	3.2 	2.7 	3.6 	3.3 	3.2 	3.2 	3.1 	3.4 	3.0 	3.5 
A,RT,DEB2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.4 	2.8 	3.0 	3.3 	3.5 	4.7 	2.4 	5.6 	1.9 	4.3 	4.0 	3.6 	3.7 	3.5 	2.9 	4.4 	4.5 	2.1 	4.3 	2.8 	3.8 
A,RT,DEB3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.1 	4.7 	4.3 	4.1 	4.6 	4.3 	2.5 	3.7 	3.1 	3.8 	4.4 	2.9 	3.0 	3.4 	3.7 	3.9 	3.3 	3.2 	3.3 	3.0 	3.4 
A,RT,DEC	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.7 	6.2 	4.2 	4.3 	4.6 	4.3 	3.4 	2.5 	2.8 	4.2 	3.9 	5.0 	3.3 	3.3 	4.4 	2.9 	3.8 	3.7 	2.6 	3.1 	: 
A,RT,DEC0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.7 	6.2 	4.2 	4.3 	4.6 	4.3 	3.4 	2.5 	2.8 	4.2 	3.9 	5.0 	3.3 	3.3 	4.4 	2.9 	3.8 	3.7 	2.6 	3.1 	: 
A,RT,DED	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.2 	3.6 	3.4 	3.4 	2.6 	2.4 	2.6 	2.5 	2.2 	2.3 	2.4 	2.6 	2.3 	2.4 	2.2 	2.3 	2.3 	2.5 	1.9 	2.5 	2.5 
A,RT,DED2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.5 	4.4 	3.9 	3.5 	3.2 	2.4 	2.9 	2.5 	2.2 	2.5 	2.0 	2.4 	2.6 	2.4 	2.0 	2.8 	2.2 	2.2 	1.5 	2.2 	2.7 
A,RT,DED4	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.7 	2.5 	3.0 	2.3 	2.0 	1.9 	2.0 	2.9 	2.5 	2.2 	2.3 	2.5 
A,RT,DED5	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.4 	2.8 	2.3 	2.1 	2.8 	2.7 	1.9 	1.8 	3.0 	2.2 	3.1 	: 
A,RT,DEE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.9 	4.3 	4.0 	3.1 	3.4 	3.0 	3.4 	2.9 	2.8 	3.0 	3.0 	2.9 	2.5 	3.7 	2.9 	4.0 	2.8 	2.2 	4.0 	3.4 	3.4 
A,RT,DEE0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.9 	4.3 	4.0 	3.1 	3.4 	3.0 	3.4 	2.9 	2.8 	3.0 	3.0 	2.9 	2.5 	3.7 	2.9 	4.0 	2.8 	2.2 	4.0 	3.4 	3.4 
A,RT,DEF	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.3 	4.0 	4.1 	4.2 	3.2 	4.1 	3.2 	2.8 	3.8 	3.2 	3.4 	3.3 	3.1 	3.0 	3.3 	3.0 	4.0 	3.1 	3.2 	3.0 	2.8 
A,RT,DEF0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.3 	4.0 	4.1 	4.2 	3.2 	4.1 	3.2 	2.8 	3.8 	3.2 	3.4 	3.3 	3.1 	3.0 	3.3 	3.0 	4.0 	3.1 	3.2 	3.0 	2.8 
A,RT,DEG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.1 	4.2 	4.6 	4.1 	4.3 	3.3 	3.2 	3.1 	2.5 	2.3 	3.2 	2.6 	2.3 	2.8 	2.9 	2.6 	3.0 	2.8 	2.5 	3.1 	3.8 
A,RT,DEG0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.1 	4.2 	4.6 	4.1 	4.3 	3.3 	3.2 	3.1 	2.5 	2.3 	3.2 	2.6 	2.3 	2.8 	2.9 	2.6 	3.0 	2.8 	2.5 	3.1 	3.8 
A,RT,DK	7.5 	7.3 	6.6 	5.4 	5.5 	5.1 	5.6 	5.2 	4.7 	2.6 	5.3 	4.9 	4.4 	4.4 	3.9 	4.4 	3.8 	4.0 	4.0 	3.1 	3.4 	3.5 	3.4 	3.5 	4.0 	3.7 	3.1 	3.8 	3.7 	3.0 	3.2 	3.1 	3.3 
A,RT,DK0	7.5 	7.3 	6.6 	5.4 	5.5 	5.1 	5.6 	5.2 	4.7 	4.2 	5.3 	4.9 	4.4 	4.4 	3.9 	4.4 	3.8 	4.0 	4.0 	3.1 	3.4 	3.5 	3.4 	3.5 	4.0 	3.7 	3.1 	3.8 	3.7 	3.0 	3.2 	3.1 	3.3 
A,RT,DK01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.4 	3.3 	4.0 	2.9 	4.1 	3.7 	3.4 	3.6 	3.9 	3.9 	3.4 	3.3 	3.4 	3.1 	2.8 	2.9 	3.1 
A,RT,DK02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.2 	4.9 	3.1 	2.9 	2.9 	5.3 	3.8 	3.4 	5.2 	4.2 	3.8 	4.9 	3.9 	3.0 	4.9 	3.5 	4.2 
A,RT,DK03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.4 	3.9 	4.8 	2.9 	3.9 	3.4 	4.4 	3.7 	4.2 	3.5 	2.0 	3.9 	4.3 	3.4 	3.2 	3.3 	3.0 
A,RT,DK04	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.5 	4.3 	3.4 	3.3 	2.9 	2.9 	2.8 	2.9 	3.8 	3.9 	3.3 	3.5 	3.9 	2.9 	3.3 	2.7 	3.6 
A,RT,DK05	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.0 	4.6 	5.1 	3.4 	1.8 	2.8 	2.5 	4.0 	3.0 	2.2 	3.1 	4.5 	2.7 	1.9 	2.1 	4.2 	2.7 
A,RT,EE	12.3 	13.3 	15.7 	15.6 	14.4 	14.9 	10.5 	10.0 	9.4 	9.6 	8.4 	8.8 	5.7 	7.0 	6.4 	5.4 	4.4 	5.0 	5.0 	3.6 	3.3 	2.5 	3.6 	2.1 	2.7 	2.5 	2.3 	2.3 	1.6 	1.6 	1.4 	2.2 	2.2 
A,RT,EE0	12.3 	13.3 	15.7 	15.6 	14.4 	14.9 	10.5 	10.0 	9.4 	9.6 	8.4 	8.8 	5.7 	7.0 	6.4 	5.4 	4.4 	5.0 	5.0 	3.6 	3.3 	2.5 	3.6 	2.1 	2.7 	2.5 	2.3 	2.3 	1.6 	1.6 	1.4 	2.2 	2.2 
A,RT,EE00	12.3 	13.3 	15.7 	15.6 	14.4 	14.9 	10.5 	10.0 	9.4 	9.6 	8.4 	8.8 	5.7 	7.0 	6.4 	5.4 	4.4 	5.0 	5.0 	3.6 	3.3 	2.5 	3.6 	2.1 	2.7 	2.5 	2.3 	2.3 	1.6 	1.6 	1.4 	2.2 	2.2 
A,RT,EFTA	6.8 	6.2 	6.1 	5.3 	5.1 	4.7 	4.4 	4.6 	4.4 	4.3 	4.4 	4.5 	4.0 	3.8 	3.8 	3.7 	3.8 	3.5 	3.4 	3.7 	3.3 	3.1 	3.1 	3.2 	3.2 	3.2 	3.0 	3.0 	2.9 	: 	: 	: 	: 
A,RT,EL	9.7 	9.0 	8.4 	8.5 	7.9 	8.1 	7.2 	6.4 	6.7 	6.2 	5.4 	5.1 	5.1 	4.0 	4.1 	3.8 	3.7 	3.5 	2.7 	3.1 	3.8 	3.4 	2.9 	3.7 	3.7 	4.0 	4.2 	3.5 	3.5 	3.7 	3.2 	3.5 	3.0 
A,RT,EL3	11.0 	10.2 	9.6 	8.3 	8.7 	8.3 	6.8 	6.5 	6.9 	7.2 	4.9 	5.5 	5.0 	3.7 	4.5 	3.9 	3.8 	3.6 	2.4 	3.4 	4.4 	3.3 	2.7 	3.6 	3.8 	3.8 	3.4 	3.7 	3.3 	3.9 	3.5 	3.4 	2.5 
A,RT,EL30	11.0 	10.2 	9.6 	8.3 	8.7 	8.3 	6.8 	6.5 	6.9 	7.2 	4.9 	5.5 	5.0 	3.7 	4.5 	3.9 	3.8 	3.6 	2.4 	3.4 	4.4 	3.3 	2.7 	3.6 	3.8 	3.8 	3.4 	3.7 	3.3 	3.9 	3.5 	3.4 	2.5 
A,RT,EL4	7.5 	7.0 	6.4 	8.2 	6.5 	7.2 	6.5 	5.7 	4.9 	4.2 	4.8 	4.8 	4.5 	3.5 	3.1 	2.5 	2.9 	3.0 	1.5 	2.0 	3.0 	2.3 	2.2 	3.3 	3.2 	3.6 	3.7 	3.4 	3.1 	3.3 	3.3 	2.1 	2.4 
A,RT,EL41	8.1 	9.5 	4.3 	7.5 	7.0 	5.8 	4.9 	4.5 	5.8 	4.6 	8.9 	5.3 	3.5 	5.9 	5.3 	2.9 	5.7 	3.2 	2.0 	3.1 	4.1 	3.4 	5.1 	4.9 	4.2 	4.3 	4.0 	2.8 	3.2 	2.6 	4.8 	1.2 	4.4 
A,RT,EL42	7.3 	3.8 	6.0 	4.7 	5.1 	4.8 	3.8 	5.0 	4.2 	2.9 	2.3 	4.3 	4.9 	2.7 	3.6 	2.7 	1.2 	2.3 	1.4 	1.6 	3.9 	2.5 	1.2 	2.6 	2.8 	4.2 	3.5 	2.4 	4.2 	5.0 	4.1 	2.6 	2.2 
A,RT,EL43	7.5 	7.9 	7.3 	10.1 	7.1 	8.9 	8.4 	6.4 	5.0 	4.8 	4.9 	4.9 	4.5 	3.3 	2.3 	2.3 	3.0 	3.2 	1.5 	1.9 	2.3 	1.9 	1.9 	3.2 	3.1 	3.1 	3.8 	4.0 	2.6 	2.6 	2.3 	2.1 	2.1 
A,RT,EL5	: 	9.5 	8.7 	9.4 	8.7 	8.0 	7.9 	6.0 	6.8 	5.8 	5.7 	4.4 	5.0 	4.6 	3.7 	4.0 	3.9 	4.2 	3.7 	3.3 	3.9 	4.3 	3.6 	4.7 	4.3 	4.2 	5.3 	3.4 	3.7 	4.0 	3.4 	4.3 	4.1 
A,RT,EL51	: 	8.9 	8.8 	10.2 	10.1 	11.2 	8.9 	8.4 	9.6 	7.7 	7.0 	6.0 	7.6 	4.4 	6.1 	4.5 	5.0 	5.9 	4.7 	5.0 	5.1 	4.5 	3.9 	8.0 	4.1 	4.4 	5.8 	5.4 	3.7 	5.9 	5.4 	7.1 	7.5 
A,RT,EL52	: 	10.3 	8.7 	8.9 	8.4 	7.2 	7.8 	5.5 	6.4 	5.9 	5.6 	4.5 	4.5 	4.8 	3.2 	4.0 	4.1 	4.5 	3.9 	3.0 	3.9 	4.2 	3.5 	3.9 	4.6 	4.4 	4.9 	3.1 	3.3 	4.1 	3.1 	3.7 	3.6 
A,RT,EL53	: 	8.3 	5.7 	8.6 	8.7 	6.5 	7.2 	4.6 	4.8 	3.9 	5.6 	3.4 	4.5 	4.9 	3.9 	3.1 	3.8 	0.8 	1.1 	3.7 	2.6 	4.7 	3.4 	4.2 	3.3 	4.8 	10.0 	3.0 	5.5 	2.3 	2.2 	2.4 	2.1 
